Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,country,year
JH Davey,6,6,50.0,2,311,15,4/68,20.73,6.22,20.0,1,0,2,0,Scotland,2015
Dawlat Zadran,5,5,41.0,2,248,6,3/29,41.33,6.04,41.0,0,0,0,0,Afghanistan,2015
Q de Kock,8,-,-,-,-,-,-,-,-,-,-,-,9,1,SouthAfrica,2015
AB de Villiers,8,4,14.0,0,86,4,2/15,21.50,6.14,21.0,0,0,6,0,SouthAfrica,2015
S Dhawan,8,-,-,-,-,-,-,-,-,-,-,-,7,0,India,2015
MS Dhoni,8,-,-,-,-,-,-,-,-,-,-,-,15,0,India,2015
TM Dilshan,7,6,33.2,0,163,5,2/35,32.60,4.89,40.0,0,0,3,0,SriLanka,2015
GH Dockrell,6,6,48.0,0,288,5,3/50,57.60,6.00,57.6,0,0,2,0,Ireland,2015
XJ Doherty,1,1,7.0,0,60,0,-,-,8.57,-,0,0,2,0,Australia,2015
JP Duminy,6,6,35.0,2,202,6,3/29,33.66,5.77,35.0,0,0,3,0,SouthAfrica,2015
F du Plessis,7,2,7.0,0,47,0,-,-,6.71,-,0,0,6,0,SouthAfrica,2015
Ehsan Adil,2,2,12.0,0,62,2,1/31,31.00,5.16,36.0,0,0,0,0,Pakistan,2015
GD Elliott,9,5,8.0,0,68,2,2/27,34.00,8.50,24.0,0,0,3,0,NewZealand,2015
CR Ervine,6,-,-,-,-,-,-,-,-,-,-,-,5,0,Zimbabwe,2015
AC Evans,4,4,40.0,3,215,6,2/30,35.83,5.37,40.0,0,0,0,0,Scotland,2015
Fahad Alhashmi,1,1,7.2,0,45,0,-,-,6.13,-,0,0,0,0,UnitedArabEmirates,2015
JP Faulkner,6,6,41.5,2,197,10,3/36,19.70,4.70,25.1,0,0,2,0,Australia,2015
AJ Finch,8,-,-,-,-,-,-,-,-,-,-,-,6,0,Australia,2015
ST Finn,4,4,29.0,3,200,8,5/71,25.00,6.89,21.7,0,1,0,0,England,2015
HJW Gardiner,3,-,-,-,-,-,-,-,-,-,-,-,1,0,Scotland,2015
CH Gayle,6,3,18.0,0,97,5,2/21,19.40,5.38,21.6,0,0,5,0,WestIndies,2015
Gulbadin Naib,1,1,9.0,0,53,1,1/53,53.00,5.88,54.0,0,0,1,0,Afghanistan,2015
MJ Guptill,9,-,-,-,-,-,-,-,-,-,-,-,4,0,NewZealand,2015
AM Guruge,4,4,28.3,2,136,7,4/56,19.42,4.77,24.4,1,0,0,0,UnitedArabEmirates,2015
BJ Haddin,8,-,-,-,-,-,-,-,-,-,-,-,16,0,Australia,2015
AD Hales,2,-,-,-,-,-,-,-,-,-,-,-,0,0,England,2015
Hamid Hassan,6,6,51.0,2,261,8,3/45,32.62,5.11,38.2,0,0,1,0,Afghanistan,2015
RM Haq,4,4,34.0,0,166,3,1/21,55.33,4.88,68.0,0,0,2,0,Scotland,2015
Haris Sohail,6,5,21.0,0,133,3,2/62,44.33,6.33,42.0,0,0,4,0,Pakistan,2015
JR Hazlewood,5,5,42.5,5,176,7,4/35,25.14,4.10,36.7,1,0,0,0,Australia,2015
MJ Henry,2,2,17.1,2,86,2,2/46,43.00,5.00,51.5,0,0,0,0,NewZealand,2015
HMRKB Herath,4,4,34.5,0,156,3,1/35,52.00,4.47,69.6,0,0,3,0,SriLanka,2015
JO Holder,7,7,58.0,6,351,9,4/27,39.00,6.05,38.6,1,0,3,0,WestIndies,2015
Imran Tahir,8,8,76.2,5,323,15,5/45,21.53,4.23,30.5,1,1,2,0,SouthAfrica,2015
Imrul Kayes,3,-,-,-,-,-,-,-,-,-,-,-,1,0,Bangladesh,2015
RA Jadeja,8,8,66.4,0,357,9,2/23,39.66,5.35,44.4,0,0,1,0,India,2015
Javed Ahmadi,6,3,9.5,0,58,0,-,-,5.89,-,0,0,0,0,Afghanistan,2015
DPMD Jayawardene,7,-,-,-,-,-,-,-,-,-,-,-,1,0,SriLanka,2015
MG Johnson,8,8,63.3,2,326,15,4/22,21.73,5.13,25.4,1,0,4,0,Australia,2015
CJ Jordan,2,2,16.2,2,72,4,2/13,18.00,4.40,24.5,0,0,2,0,England,2015
EC Joyce,6,-,-,-,-,-,-,-,-,-,-,-,3,0,Ireland,2015
Kamran Shazad,1,1,8.0,0,59,1,1/59,59.00,7.37,48.0,0,0,0,0,UnitedArabEmirates,2015
TP Kamungozi,3,3,21.0,0,124,1,1/34,124.00,5.90,126.0,0,0,0,0,Zimbabwe,2015
FDM Karunaratne,4,-,-,-,-,-,-,-,-,-,-,-,1,0,SriLanka,2015
PHT Kaushal,1,1,6.0,0,25,0,-,-,4.16,-,0,0,0,0,SriLanka,2015
Khurram Khan,6,2,7.0,0,52,0,-,-,7.42,-,0,0,1,0,UnitedArabEmirates,2015
V Kohli,8,1,1.0,0,7,0,-,-,7.00,-,0,0,5,0,India,2015
Krishna Chandran,5,4,25.0,0,177,1,1/59,177.00,7.08,150.0,0,0,3,0,UnitedArabEmirates,2015
KMDN Kulasekara,3,3,16.0,0,111,4,3/20,27.75,6.93,24.0,0,0,2,0,SriLanka,2015
B Kumar,1,1,5.0,0,19,1,1/19,19.00,3.80,30.0,0,0,0,0,India,2015
RAS Lakmal,4,4,35.4,1,218,7,2/36,31.14,6.11,30.5,0,0,3,0,SriLanka,2015
MA Leask,2,2,7.2,0,70,0,-,-,9.54,-,0,0,2,0,Scotland,2015
AR McBrine,3,3,28.0,1,145,3,2/63,48.33,5.17,56.0,0,0,0,0,Ireland,2015
MJ McClenaghan,1,1,8.0,0,68,0,-,-,8.50,-,0,0,0,0,NewZealand,2015
BB McCullum,9,-,-,-,-,-,-,-,-,-,-,-,2,0,NewZealand,2015
MW Machan,6,3,13.0,0,102,1,1/46,102.00,7.84,78.0,0,0,1,0,Scotland,2015
CS MacLeod,6,-,-,-,-,-,-,-,-,-,-,-,4,0,Scotland,2015
Mahmudullah,6,5,24.0,1,135,1,1/31,135.00,5.62,144.0,0,0,2,0,Bangladesh,2015
SL Malinga,7,7,63.4,1,354,12,3/35,29.50,5.56,31.8,0,0,3,0,SriLanka,2015
MR Marsh,3,3,13.0,0,69,5,5/33,13.80,5.30,15.6,0,1,0,0,Australia,2015
H Masakadza,6,6,16.2,0,101,1,1/39,101.00,6.18,98.0,0,0,1,0,Zimbabwe,2015
Mashrafe Mortaza,5,5,47.0,2,250,7,3/20,35.71,5.31,40.2,0,0,1,0,Bangladesh,2015
AD Mathews,7,5,35.4,1,207,6,3/41,34.50,5.80,35.6,0,0,1,0,SriLanka,2015
S Matsikenyeri,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Zimbabwe,2015
GJ Maxwell,8,8,38.0,1,218,6,2/43,36.33,5.73,38.0,0,0,1,0,Australia,2015
BMAJ Mendis,2,2,5.0,0,18,2,2/5,9.00,3.60,15.0,0,0,3,0,SriLanka,2015
DA Miller,8,-,-,-,-,-,-,-,-,-,-,-,3,0,SouthAfrica,2015
NO Miller,1,1,6.3,0,48,1,1/48,48.00,7.38,39.0,0,0,0,0,WestIndies,2015
AF Milne,6,6,39.2,1,199,5,2/56,39.80,5.05,47.2,0,0,4,0,NewZealand,2015
SF Mire,5,4,20.0,0,138,2,2/39,69.00,6.90,60.0,0,0,0,0,Zimbabwe,2015
Mirwais Ashraf,2,2,17.1,3,63,2,2/32,31.50,3.66,51.5,0,0,0,0,Afghanistan,2015
Misbah-ul-Haq,7,-,-,-,-,-,-,-,-,-,-,-,3,0,Pakistan,2015
Mohammad Irfan,5,5,41.0,3,186,8,4/30,23.25,4.53,30.7,1,0,0,0,Pakistan,2015
Mohammad Nabi,6,6,45.4,0,261,3,1/38,87.00,5.71,91.3,0,0,3,0,Afghanistan,2015
Mohammad Naveed,6,6,50.2,2,307,8,3/63,38.37,6.09,37.7,0,0,1,0,UnitedArabEmirates,2015
Mohammad Tauqir,6,6,43.5,0,231,5,2/38,46.20,5.26,52.6,0,0,1,0,UnitedArabEmirates,2015
Mohammed Shami,7,7,61.0,7,294,17,4/35,17.29,4.81,21.5,1,0,5,0,India,2015
Mominul Haque,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Bangladesh,2015
PL Mommsen,6,-,-,-,-,-,-,-,-,-,-,-,4,0,Scotland,2015
JF Mooney,6,6,45.0,4,285,4,2/58,71.25,6.33,67.5,0,0,2,0,Ireland,2015
EJG Morgan,6,-,-,-,-,-,-,-,-,-,-,-,5,0,England,2015
M Morkel,8,8,68.1,4,299,17,3/34,17.58,4.38,24.0,0,0,2,0,SouthAfrica,2015
T Mupariwa,3,3,28.0,1,153,1,1/36,153.00,5.46,168.0,0,0,1,0,Zimbabwe,2015
Mushfiqur Rahim,6,-,-,-,-,-,-,-,-,-,-,-,7,1,Bangladesh,2015
Najibullah Zadran,6,-,-,-,-,-,-,-,-,-,-,-,3,0,Afghanistan,2015
Nasir Aziz,2,2,16.0,0,100,1,1/53,100.00,6.25,96.0,0,0,0,0,UnitedArabEmirates,2015
Nasir Hossain,3,3,19.0,0,99,4,2/32,24.75,5.21,28.5,0,0,2,0,Bangladesh,2015
Nasir Jamal,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Afghanistan,2015
Nasir Jamshed,3,-,-,-,-,-,-,-,-,-,-,-,1,0,Pakistan,2015
Nawroz Mangal,6,1,1.0,0,14,1,1/14,14.00,14.00,6.0,0,0,3,0,Afghanistan,2015
KJ O'Brien,6,6,49.5,0,408,6,2/61,68.00,8.18,49.8,0,0,3,0,Ireland,2015
NJ O'Brien,6,-,-,-,-,-,-,-,-,-,-,-,2,0,Ireland,2015
T Panyangara,6,6,55.4,4,392,5,2/53,78.40,7.04,66.8,0,0,1,0,Zimbabwe,2015
WD Parnell,1,1,9.0,0,85,1,1/85,85.00,9.44,54.0,0,0,0,0,SouthAfrica,2015
SP Patil,6,-,-,-,-,-,-,-,-,-,-,-,4,0,UnitedArabEmirates,2015
MDKJ Perera,2,-,-,-,-,-,-,-,-,-,-,-,0,0,SriLanka,2015
NLTC Perera,6,6,41.3,0,280,6,2/87,46.66,6.74,41.5,0,0,5,0,SriLanka,2015
VD Philander,4,4,28.3,2,135,4,2/30,33.75,4.73,42.7,0,0,1,0,SouthAfrica,2015
WTS Porterfield,6,-,-,-,-,-,-,-,-,-,-,-,5,0,Ireland,2015
S Prasanna,2,2,18.0,0,134,1,1/77,134.00,7.44,108.0,0,0,1,0,SriLanka,2015
AM Rahane,8,-,-,-,-,-,-,-,-,-,-,-,5,0,India,2015
Rahat Ali,5,5,44.0,1,192,7,3/40,27.42,4.36,37.7,0,0,1,0,Pakistan,2015
SK Raina,8,4,15.0,1,64,1,1/40,64.00,4.26,90.0,0,0,6,0,India,2015
D Ramdin,7,-,-,-,-,-,-,-,-,-,-,-,13,0,WestIndies,2015
KAJ Roach,3,3,22.0,1,150,1,1/44,150.00,6.81,132.0,0,0,0,0,WestIndies,2015
Rohan Mustafa,4,3,12.0,0,76,0,-,-,6.33,-,0,0,3,0,UnitedArabEmirates,2015
L Ronchi,9,-,-,-,-,-,-,-,-,-,-,-,12,1,NewZealand,2015
JE Root,6,4,9.0,0,56,1,1/27,56.00,6.22,54.0,0,0,7,0,England,2015
RR Rossouw,6,1,2.0,0,13,0,-,-,6.50,-,0,0,9,0,SouthAfrica,2015
Rubel Hossain,6,6,50.3,1,298,8,4/53,37.25,5.90,37.8,1,0,2,0,Bangladesh,2015
AD Russell,7,7,54.0,5,343,11,3/33,31.18,6.35,29.4,0,0,2,0,WestIndies,2015
Sabbir Rahman,6,5,16.0,0,104,1,1/47,104.00,6.50,96.0,0,0,3,0,Bangladesh,2015
Samiullah Shinwari,6,5,17.1,0,102,0,-,-,5.94,-,0,0,2,0,Afghanistan,2015
DJG Sammy,7,6,28.0,0,172,1,1/47,172.00,6.14,168.0,0,0,1,0,WestIndies,2015
MN Samuels,7,6,35.1,4,177,3,1/25,59.00,5.03,70.3,0,0,2,0,WestIndies,2015
KC Sangakkara,7,-,-,-,-,-,-,-,-,-,-,-,5,3,SriLanka,2015
Saqlain Haider,1,-,-,-,-,-,-,-,-,-,-,-,1,0,UnitedArabEmirates,2015
Sarfaraz Ahmed,3,-,-,-,-,-,-,-,-,-,-,-,6,0,Pakistan,2015
SMSM Senanayake,1,1,9.0,0,59,0,-,-,6.55,-,0,0,0,0,SriLanka,2015
Shafiqullah,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Afghanistan,2015
Shahid Afridi,7,7,57.0,2,282,2,2/35,141.00,4.94,171.0,0,0,3,0,Pakistan,2015
Shaiman Anwar,6,1,0.4,0,4,0,-,-,6.00,-,0,0,1,0,UnitedArabEmirates,2015
Shapoor Zadran,6,6,51.0,5,265,10,4/38,26.50,5.19,30.6,1,0,0,0,Afghanistan,2015
Shakib Al Hasan,6,6,57.4,1,298,8,4/55,37.25,5.16,43.2,1,0,2,0,Bangladesh,2015
MM Sharma,8,8,63.0,4,314,13,3/48,24.15,4.98,29.0,0,0,2,0,India,2015
RG Sharma,8,1,3.0,0,21,0,-,-,7.00,-,0,0,3,0,India,2015
Sikandar Raza,6,6,40.0,1,197,2,1/34,98.50,4.92,120.0,0,0,2,0,Zimbabwe,2015
LMP Simmons,7,1,1.0,0,12,0,-,-,12.00,-,0,0,2,0,WestIndies,2015
DR Smith,6,2,7.0,0,27,1,1/22,27.00,3.85,42.0,0,0,3,0,WestIndies,2015
SPD Smith,8,1,2.0,0,19,0,-,-,9.50,-,0,0,4,0,Australia,2015
Sohaib Maqsood,7,2,6.0,0,24,1,1/16,24.00,4.00,36.0,0,0,2,0,Pakistan,2015
Sohail Khan,7,7,61.5,3,364,12,5/55,30.33,5.88,30.9,0,1,2,0,Pakistan,2015
MC Sorensen,3,3,24.0,0,200,3,2/60,66.66,8.33,48.0,0,0,1,0,Ireland,2015
Soumya Sarkar,6,2,7.0,0,32,0,-,-,4.57,-,0,0,6,0,Bangladesh,2015
TG Southee,9,9,81.0,7,472,15,7/33,31.46,5.82,32.4,0,1,2,0,NewZealand,2015
MA Starc,8,8,63.5,3,224,22,6/28,10.18,3.50,17.4,1,1,5,0,Australia,2015
DW Steyn,8,8,68.5,7,346,11,3/30,31.45,5.02,37.5,0,0,3,0,SouthAfrica,2015
PR Stirling,6,6,34.1,0,195,2,2/27,97.50,5.70,102.5,0,0,2,0,Ireland,2015
Taijul Islam,1,1,10.0,0,58,0,-,-,5.80,-,0,0,0,0,Bangladesh,2015
Tamim Iqbal,6,-,-,-,-,-,-,-,-,-,-,-,1,0,Bangladesh,2015
Taskin Ahmed,6,6,51.0,1,325,9,3/43,36.11,6.37,34.0,0,0,2,0,Bangladesh,2015
BRM Taylor,6,-,-,-,-,-,-,-,-,-,-,-,4,0,Zimbabwe,2015
JE Taylor,7,7,57.3,2,328,17,3/15,19.29,5.70,20.2,0,0,1,0,WestIndies,2015
LRPL Taylor,9,-,-,-,-,-,-,-,-,-,-,-,5,0,NewZealand,2015
RML Taylor,3,3,19.0,0,102,2,1/29,51.00,5.36,57.0,0,0,1,0,Scotland,2015
JWA Taylor,6,-,-,-,-,-,-,-,-,-,-,-,0,0,England,2015
WU Tharanga,1,-,-,-,-,-,-,-,-,-,-,-,0,0,SriLanka,2015
HDRL Thirimanne,7,-,-,-,-,-,-,-,-,-,-,-,4,0,SriLanka,2015
SR Thompson,2,2,16.0,0,104,3,2/45,34.66,6.50,32.0,0,0,0,0,Ireland,2015
JC Tredwell,1,1,7.0,0,25,1,1/25,25.00,3.57,42.0,0,0,1,0,England,2015
Umar Akmal,7,-,-,-,-,-,-,-,-,-,-,-,12,0,Pakistan,2015
Usman Ghani,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Afghanistan,2015
DL Vettori,9,9,75.5,5,307,15,4/18,20.46,4.04,30.3,1,0,6,0,NewZealand,2015
Wahab Riaz,7,7,66.1,4,368,16,4/45,23.00,5.56,24.8,1,0,4,0,Pakistan,2015
I Wardlaw,5,5,43.3,1,310,6,3/57,51.66,7.12,43.5,0,0,1,0,Scotland,2015
DA Warner,8,-,-,-,-,-,-,-,-,-,-,-,5,0,Australia,2015
SR Watson,7,6,26.0,0,171,2,1/18,85.50,6.57,78.0,0,0,1,0,Australia,2015
SC Williams,6,6,45.0,1,286,7,3/72,40.85,6.35,38.5,0,0,4,0,Zimbabwe,2015
KS Williamson,9,2,2.0,0,12,0,-,-,6.00,-,0,0,3,0,NewZealand,2015
GC Wilson,6,-,-,-,-,-,-,-,-,-,-,-,4,0,Ireland,2015
CR Woakes,5,5,37.4,1,234,5,2/8,46.80,6.21,45.2,0,0,1,0,England,2015
UT Yadav,8,8,64.2,5,321,18,4/31,17.83,4.98,21.4,2,0,8,0,India,2015
Yasir Shah,1,1,8.0,0,60,0,-,-,7.50,-,0,0,0,0,Pakistan,2015
Younis Khan,3,-,-,-,-,-,-,-,-,-,-,-,1,0,Pakistan,2015
Aftab Alam,3,3,20.1,2,115,4,3/45,28.75,5.70,30.2,0,0,0,0,Afghanistan,2019
MM Ali,5,5,43.0,0,230,5,3/50,46.00,5.34,51.6,0,0,3,0,England,2019
FA Allen,3,3,21.0,0,122,1,1/44,122.00,5.80,126.0,0,0,5,0,WestIndies,2019
SW Ambris,2,-,-,-,-,-,-,-,-,-,-,-,0,0,WestIndies,2019
HM Amla,7,-,-,-,-,-,-,-,-,-,-,-,4,0,SouthAfrica,2019
JC Archer,11,11,100.5,8,461,20,3/27,23.05,4.57,30.2,0,0,2,0,England,2019
Asghar Afghan,6,-,-,-,-,-,-,-,-,-,-,-,0,0,Afghanistan,2019
Asif Ali,2,-,-,-,-,-,-,-,-,-,-,-,1,0,Pakistan,2019
Babar Azam,8,-,-,-,-,-,-,-,-,-,-,-,5,0,Pakistan,2019
JM Bairstow,11,-,-,-,-,-,-,-,-,-,-,-,9,0,England,2019
JP Behrendorff,5,5,44.1,2,227,9,5/44,25.22,5.13,29.4,0,1,1,0,Australia,2019
TA Boult,10,10,99.0,4,479,17,4/30,28.17,4.83,34.9,2,0,7,0,NewZealand,2019
CR Brathwaite,8,7,44.0,0,323,9,4/63,35.88,7.34,29.3,1,0,1,0,WestIndies,2019
DM Bravo,3,-,-,-,-,-,-,-,-,-,-,-,0,0,WestIndies,2019
JJ Bumrah,9,9,84.0,9,371,18,4/55,20.61,4.41,28.0,1,0,1,0,India,2019
JC Buttler,11,-,-,-,-,-,-,-,-,-,-,-,12,2,England,2019
AT Carey,10,-,-,-,-,-,-,-,-,-,-,-,18,2,Australia,2019
YS Chahal,8,8,74.0,0,442,12,4/51,36.83,5.97,37.0,1,0,4,0,India,2019
SS Cottrell,9,9,67.0,2,392,12,4/56,32.66,5.85,33.5,1,0,8,0,WestIndies,2019
NM Coulter-Nile,5,5,47.0,2,280,4,2/58,70.00,5.95,70.5,0,0,0,0,Australia,2019
PJ Cummins,10,10,86.1,6,427,14,3/33,30.50,4.95,36.9,0,0,4,0,Australia,2019
Dawlat Zadran,5,5,39.0,1,288,8,3/85,36.00,7.38,29.2,0,0,1,0,Afghanistan,2019
C de Grandhomme,10,10,51.0,4,212,6,1/14,35.33,4.15,51.0,0,0,3,0,NewZealand,2019
Q de Kock,9,-,-,-,-,-,-,-,-,-,-,-,9,0,SouthAfrica,2019
DM de Silva,7,6,37.0,0,197,5,3/32,39.40,5.32,44.4,0,0,0,0,SriLanka,2019
S Dhawan,2,-,-,-,-,-,-,-,-,-,-,-,0,0,India,2019
MS Dhoni,9,-,-,-,-,-,-,-,-,-,-,-,7,3,India,2019
JP Duminy,5,4,9.0,0,61,1,1/15,61.00,6.77,54.0,0,0,2,0,SouthAfrica,2019
F du Plessis,9,-,-,-,-,-,-,-,-,-,-,-,10,0,SouthAfrica,2019
Fakhar Zaman,8,-,-,-,-,-,-,-,-,-,-,-,3,0,Pakistan,2019
LH Ferguson,9,9,83.4,3,409,21,4/37,19.47,4.88,23.9,1,0,2,0,NewZealand,2019
N Pradeep,3,3,29.0,2,157,5,4/31,31.40,5.41,34.8,1,0,0,0,SriLanka,2019
WIA Fernando,4,-,-,-,-,-,-,-,-,-,-,-,0,0,SriLanka,2019
AJ Finch,10,2,3.0,0,20,1,1/13,20.00,6.66,18.0,0,0,5,0,Australia,2019
ST Gabriel,3,3,20.3,0,173,2,2/49,86.50,8.43,61.5,0,0,0,0,WestIndies,2019
CH Gayle,9,4,15.0,0,80,2,1/8,40.00,5.33,45.0,0,0,4,0,WestIndies,2019
Gulbadin Naib,9,9,65.4,2,420,9,3/68,46.66,6.39,43.7,0,0,1,0,Afghanistan,2019
MJ Guptill,10,-,-,-,-,-,-,-,-,-,-,-,8,0,NewZealand,2019
Hamid Hassan,5,5,26.0,3,122,1,1/53,122.00,4.69,156.0,0,0,1,0,Afghanistan,2019
PSP Handscomb,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Australia,2019
Haris Sohail,5,-,-,-,-,-,-,-,-,-,-,-,2,0,Pakistan,2019
Hasan Ali,4,4,33.0,0,256,2,1/67,128.00,7.75,99.0,0,0,0,0,Pakistan,2019
Hashmatullah Shahidi,8,-,-,-,-,-,-,-,-,-,-,-,2,0,Afghanistan,2019
Hazratullah Zazai,5,-,-,-,-,-,-,-,-,-,-,-,2,0,Afghanistan,2019
BE Hendricks,2,1,5.0,1,25,0,-,-,5.00,-,0,0,0,0,SouthAfrica,2019
MJ Henry,9,9,80.2,5,392,14,4/47,28.00,4.87,34.4,1,0,3,0,NewZealand,2019
SO Hetmyer,9,-,-,-,-,-,-,-,-,-,-,-,2,0,WestIndies,2019
JO Holder,9,8,61.1,4,343,8,3/42,42.87,5.60,45.8,0,0,6,0,WestIndies,2019
SD Hope,9,-,-,-,-,-,-,-,-,-,-,-,16,0,WestIndies,2019
Ikram Alikhil,7,-,-,-,-,-,-,-,-,-,-,-,2,2,Afghanistan,2019
Imad Wasim,6,5,39.0,0,188,2,2/48,94.00,4.82,117.0,0,0,1,0,Pakistan,2019
Imam-ul-Haq,8,-,-,-,-,-,-,-,-,-,-,-,2,0,Pakistan,2019
Imran Tahir,9,8,76.0,0,374,11,4/29,34.00,4.92,41.4,1,0,2,0,SouthAfrica,2019
RA Jadeja,2,2,20.0,0,74,2,1/34,37.00,3.70,60.0,0,0,3,0,India,2019
KM Jadhav,6,3,6.0,0,34,0,-,-,5.66,-,0,0,4,0,India,2019
KD Karthik,3,-,-,-,-,-,-,-,-,-,-,-,3,0,India,2019
FDM Karunaratne,7,1,1.0,0,7,0,-,-,7.00,-,0,0,2,0,SriLanka,2019
UT Khawaja,9,-,-,-,-,-,-,-,-,-,-,-,5,0,Australia,2019
V Kohli,9,-,-,-,-,-,-,-,-,-,-,-,6,0,India,2019
Kuldeep Yadav,7,7,67.0,2,337,6,2/32,56.16,5.02,67.0,0,0,0,0,India,2019
B Kumar,6,6,51.4,1,269,10,3/43,26.90,5.20,31.0,0,0,1,0,India,2019
RAS Lakmal,3,3,16.0,0,102,0,-,-,6.37,-,0,0,0,0,SriLanka,2019
TWM Latham,10,-,-,-,-,-,-,-,-,-,-,-,21,0,NewZealand,2019
E Lewis,5,-,-,-,-,-,-,-,-,-,-,-,1,0,WestIndies,2019
Liton Das,5,-,-,-,-,-,-,-,-,-,-,-,3,0,Bangladesh,2019
NM Lyon,4,4,34.0,0,181,3,2/53,60.33,5.32,68.0,0,0,1,0,Australia,2019
Mahmudullah,7,-,-,-,-,-,-,-,-,-,-,-,2,0,Bangladesh,2019
SL Malinga,7,7,61.4,4,373,13,4/43,28.69,6.04,28.4,1,0,0,0,SriLanka,2019
AK Markram,8,3,12.0,0,76,1,1/22,76.00,6.33,72.0,0,0,5,0,SouthAfrica,2019
SE Marsh,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Australia,2019
Mashrafe Mortaza,8,8,56.0,1,361,1,1/68,361.00,6.44,336.0,0,0,3,0,Bangladesh,2019
AD Mathews,7,1,2.0,0,6,1,1/6,6.00,3.00,12.0,0,0,2,0,SriLanka,2019
GJ Maxwell,10,8,49.0,1,295,0,-,-,6.02,-,0,0,4,0,Australia,2019
Mehidy Hasan Miraz,7,7,67.0,0,341,6,2/47,56.83,5.08,67.0,0,0,4,0,Bangladesh,2019
BKG Mendis,7,-,-,-,-,-,-,-,-,-,-,-,1,0,SriLanka,2019
BMAJ Mendis,3,3,11.1,0,70,0,-,-,6.26,-,0,0,0,0,SriLanka,2019
DA Miller,6,-,-,-,-,-,-,-,-,-,-,-,0,0,SouthAfrica,2019
Mohammad Amir,8,8,73.0,5,358,17,5/30,21.05,4.90,25.7,0,1,2,0,Pakistan,2019
Mohammad Hafeez,8,7,32.0,1,189,2,1/43,94.50,5.90,96.0,0,0,5,0,Pakistan,2019
Mohammad Mithun,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Bangladesh,2019
Mohammad Nabi,9,9,72.4,0,335,10,4/30,33.50,4.61,43.6,1,0,5,0,Afghanistan,2019
Mohammad Saifuddin,7,7,58.0,2,417,13,3/72,32.07,7.18,26.7,0,0,1,0,Bangladesh,2019
Mohammad Shahzad,2,-,-,-,-,-,-,-,-,-,-,-,2,0,Afghanistan,2019
Mohammed Shami,4,4,35.1,2,193,14,5/69,13.78,5.48,15.0,2,1,3,0,India,2019
EJG Morgan,11,-,-,-,-,-,-,-,-,-,-,-,4,0,England,2019
CH Morris,8,7,63.4,5,341,13,3/13,26.23,5.35,29.3,0,0,3,0,SouthAfrica,2019
Mosaddek Hossain,7,7,36.0,0,215,3,2/33,71.66,5.97,72.0,0,0,3,0,Bangladesh,2019
Mujeeb Ur Rahman,7,7,57.5,1,259,7,3/39,37.00,4.47,49.5,0,0,2,0,Afghanistan,2019
C Munro,6,1,1.0,0,9,0,-,-,9.00,-,0,0,2,0,NewZealand,2019
Mushfiqur Rahim,8,-,-,-,-,-,-,-,-,-,-,-,8,2,Bangladesh,2019
Mustafizur Rahman,8,8,72.1,2,484,20,5/59,24.20,6.70,21.6,0,2,1,0,Bangladesh,2019
Najibullah Zadran,8,-,-,-,-,-,-,-,-,-,-,-,2,0,Afghanistan,2019
JDS Neesham,10,9,54.3,2,292,15,5/31,19.46,5.35,21.8,0,1,4,0,NewZealand,2019
L Ngidi,4,4,33.0,1,211,7,3/64,30.14,6.39,28.2,0,0,1,0,SouthAfrica,2019
HM Nicholls,4,-,-,-,-,-,-,-,-,-,-,-,0,0,NewZealand,2019
Noor Ali Zadran,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Afghanistan,2019
AR Nurse,4,2,14.0,0,86,0,-,-,6.14,-,0,0,0,0,WestIndies,2019
HH Pandya,9,9,79.0,1,447,10,3/60,44.70,5.65,47.4,0,0,3,0,India,2019
RR Pant,4,-,-,-,-,-,-,-,-,-,-,-,1,0,India,2019
MDKJ Perera,7,-,-,-,-,-,-,-,-,-,-,-,8,0,SriLanka,2019
NLTC Perera,6,6,40.2,1,207,1,1/19,207.00,5.13,242.0,0,0,2,0,SriLanka,2019
AL Phehlukwayo,9,8,61.5,2,336,11,2/18,30.54,5.43,33.7,0,0,1,0,SouthAfrica,2019
LE Plunkett,7,7,56.0,0,272,11,3/42,24.72,4.85,30.5,0,0,1,0,England,2019
N Pooran,9,-,-,-,-,-,-,-,-,-,-,-,1,0,WestIndies,2019
D Pretorius,3,3,23.0,4,94,5,3/25,18.80,4.08,27.6,0,0,1,0,SouthAfrica,2019
K Rabada,9,8,78.0,4,397,11,3/56,36.09,5.08,42.5,0,0,3,0,SouthAfrica,2019
Rahmat Shah,9,4,13.0,0,69,1,1/22,69.00,5.30,78.0,0,0,5,0,Afghanistan,2019
KL Rahul,9,-,-,-,-,-,-,-,-,-,-,-,1,0,India,2019
CAK Rajitha,2,2,18.0,0,123,2,1/47,61.50,6.83,54.0,0,0,0,0,SriLanka,2019
