Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,num_seasons,Role,mean_rating,median_rating
SR Waugh,1987-1999,33,30,10,978,120*,48.9,1207,81.02,1,6,0,73,13,Australia,173.1,7,814,27,3/36,30.14,4.7,38.4,0,0,14,0,4,All Rounder,31.477732793522268,32.18623481781377
Abdur Razzak,2007-2011,15,11,2,44,15,4.88,88,50.0,0,0,3,3,0,Bangladesh,121.4,9,564,20,3/20,28.2,4.63,36.5,0,0,2,0,2,Bowler,56.746031746031754,56.746031746031754
Khaled Mahmud,1999-2003,9,8,0,87,27,10.87,150,58.0,0,0,1,5,1,Bangladesh,68.5,8,298,12,3/31,24.83,4.32,34.4,0,0,2,0,2,Bowler,78.75,78.75
Mushfiqur Rahim,2007-2019,29,28,5,877,102*,38.13,1104,79.43,1,6,2,71,10,Bangladesh,-,-,-,-,-,-,-,-,-,-,21,7,4,Wicket Keeper,55.39682539682539,47.22222222222222
Shakib Al Hasan,2007-2019,29,29,4,1146,124*,45.84,1393,82.26,2,10,1,107,8,Bangladesh,238.5,2,1222,34,5/29,35.94,5.11,42.1,1,1,8,0,4,All Rounder,32.62635756056808,35.515873015873005
JC Buttler,2015-2019,17,14,1,453,103,34.84,358,126.53,1,3,0,39,10,England,-,-,-,-,-,-,-,-,-,-,20,2,2,Wicket Keeper,56.77777777777778,56.77777777777778
PD Collingwood,2003-2011,18,18,6,474,90,39.5,604,78.47,0,3,0,37,6,England,85,0,423,8,2/33,52.87,4.97,63.7,0,0,13,0,3,All Rounder,61.63324979114452,77.38095238095238
A Flintoff,1999-2007,18,14,0,263,64,18.78,387,67.95,0,1,3,21,8,England,135.4,12,534,23,4/43,23.21,3.93,35.3,1,0,6,0,3,All Rounder,59.189640768588134,45.23809523809525
GA Gooch,1979-1992,21,21,1,897,115,44.85,1418,63.25,1,8,1,80,4,England,23,2,115,1,1/42,115,5,138,0,0,3,0,4,Batsman,41.66666666666666,41.66666666666666
D Gough,1996-1999,11,6,2,95,26*,23.75,129,73.64,0,0,0,10,0,England,99.4,8,430,15,4/34,28.66,4.31,39.8,1,0,2,0,2,Bowler,65.14705882352942,65.14705882352942
GA Hick,1992-1999,20,19,4,635,104*,42.33,858,74.0,1,6,2,53,6,England,37.2,0,208,5,2/44,41.6,5.57,44.8,0,0,12,0,3,Batsman,66.30718954248367,70.58823529411767
KP Pietersen,2007-2011,13,13,1,575,104,47.91,684,84.06,2,4,0,53,7,England,11,0,51,0,-,-,4.63,-,0,0,3,0,2,Batsman,53.96825396825397,53.96825396825397
AJ Stewart,1992-2003,25,22,1,606,88,28.85,985,61.52,0,4,2,58,2,England,-,-,-,-,-,-,-,-,-,-,21,2,4,Wicket Keeper,49.61309523809523,47.14285714285714
GP Thorpe,1996-1999,11,10,3,379,89,54.14,514,73.73,0,3,0,35,1,England,8,0,45,0,-,-,5.62,-,0,0,11,0,2,Batsman,69.11764705882354,69.11764705882354
DT Johnston,2007-2011,13,12,3,171,30,19,190,90.0,0,0,1,12,6,Ireland,93.4,5,498,16,2/16,31.12,5.31,35.1,0,0,8,0,2,All Rounder,51.03383458646616,51.03383458646616
EC Joyce,2011-2015,12,12,0,422,112,35.16,514,82.1,1,2,1,41,5,Ireland,-,-,-,-,-,-,-,-,-,-,3,0,2,Batsman,72.30576441102757,72.30576441102757
KJ O'Brien,2007-2015,20,20,2,499,113,27.72,552,90.39,1,1,1,48,17,Ireland,84.5,1,623,13,4/71,47.92,7.34,39.1,1,0,7,0,3,All Rounder,57.58145363408521,54.76190476190475
WTS Porterfield,2007-2015,21,21,0,627,107,29.85,1058,59.26,1,4,3,50,4,Ireland,-,-,-,-,-,-,-,-,-,-,14,0,3,Batsman,70.78808131439709,71.42857142857143
WB Rankin,2007-2011,15,8,6,24,7*,12,70,34.28,0,0,1,1,0,Ireland,114.2,6,639,15,3/32,42.6,5.58,45.7,0,0,2,0,2,Bowler,74.20634920634922,74.20634920634922
RN ten Doeschate,2007-2011,9,9,2,435,119,62.14,492,88.41,2,3,0,47,7,Netherlands,72,2,473,9,3/72,52.55,6.56,48,0,0,4,0,2,All Rounder,51.848370927318285,51.848370927318285
SE Bond,2003-2007,16,5,3,7,3,3.5,25,28.0,0,0,0,0,0,NewZealand,147.4,21,518,30,6/23,17.26,3.5,29.5,0,1,6,0,2,Bowler,35.97222222222222,35.97222222222222
TA Boult,2015-2019,19,6,5,10,4,10,22,45.45,0,0,0,1,0,NewZealand,184,18,850,39,5/27,21.79,4.61,28.3,3,1,8,0,2,Bowler,17.5,17.5
CL Cairns,1992-2003,28,24,7,565,60,33.23,684,82.6,0,3,1,41,16,NewZealand,146.4,9,755,18,3/19,41.94,5.14,48.8,0,0,16,0,4,All Rounder,59.56116252168882,64.01098901098901
MD Crowe,1983-1992,21,21,5,880,100*,55,1053,83.57,1,8,1,82,7,NewZealand,18,2,116,1,1/15,116,6.44,108,0,0,8,0,3,Batsman,38.333333333333336,38.333333333333336
SP Fleming,1996-2007,33,33,3,1075,134*,35.83,1398,76.89,2,5,2,134,11,NewZealand,2,0,8,1,1/8,8,4,12,0,0,12,0,4,Batsman,58.45588235294117,54.411764705882355
MJ Guptill,2011-2019,27,27,4,995,237*,43.26,1126,88.36,2,4,2,108,24,NewZealand,-,-,-,-,-,-,-,-,-,-,13,0,3,Batsman,46.04010025062657,42.857142857142854
CZ Harris,1992-2003,28,20,5,431,130,28.73,626,68.84,1,0,0,30,4,NewZealand,194.2,10,861,32,4/7,26.9,4.43,36.4,1,0,7,0,4,All Rounder,55.743927125506076,50.96153846153847
KR Rutherford,1987-1992,14,12,2,416,75,41.6,587,70.86,0,4,0,36,7,NewZealand,1.4,0,11,0,-,-,6.6,-,0,0,5,0,2,Batsman,85.0,85.0
TG Southee,2011-2019,18,7,2,44,12*,8.8,55,80.0,0,0,2,2,2,NewZealand,162.2,16,854,34,7/33,25.11,5.26,28.6,0,1,3,0,3,Bowler,53.17460317460318,50.0
SB Styris,2003-2011,26,22,5,909,141,53.47,1026,88.59,2,6,1,69,17,NewZealand,120.2,3,552,17,4/43,32.47,4.58,42.4,1,0,13,0,3,All Rounder,34.77443609022557,36.904761904761905
LRPL Taylor,2007-2019,33,30,3,1002,131*,37.11,1354,74.0,1,6,2,76,17,NewZealand,-,-,-,-,-,-,-,-,-,-,11,0,4,Batsman,65.41144527986633,74.47368421052632
DL Vettori,2003-2015,32,17,6,167,44,15.18,199,83.91,0,0,1,20,1,NewZealand,281.3,12,1168,36,4/18,32.44,4.14,46.9,2,0,9,0,4,Bowler,65.15873015873015,70.0
KS Williamson,2011-2019,23,22,6,911,148,56.93,1163,78.33,2,3,0,86,6,NewZealand,22,0,106,2,1/25,53,4.81,66,0,0,9,0,3,Batsman,64.72013366750208,73.68421052631578
Abdul Razzaq,1999-2011,22,19,2,373,62,21.94,665,56.09,0,2,1,35,2,Pakistan,140,11,592,19,3/25,31.15,4.22,44.2,0,0,3,0,4,All Rounder,54.53216374269007,56.57894736842106
Imran Khan,1975-1992,28,24,5,666,102*,35.05,1014,65.68,1,4,2,55,8,Pakistan,169.3,18,655,34,4/37,19.26,3.86,29.9,2,0,6,0,5,All Rounder,35.817307692307686,35.817307692307686
Javed Miandad,1975-1996,33,30,5,1083,103,43.32,1592,68.02,1,8,2,72,3,Pakistan,22,2,73,4,2/22,18.25,3.31,33,0,0,10,1,6,Batsman,47.77777777777778,30.0
Kamran Akmal,2007-2011,11,10,1,249,55,27.66,352,70.73,0,1,1,34,0,Pakistan,-,-,-,-,-,-,-,-,-,-,11,6,2,Wicket Keeper,75.63492063492063,75.63492063492063
Misbah-ul-Haq,2011-2015,15,13,1,598,83*,49.83,802,74.56,0,7,1,38,10,Pakistan,-,-,-,-,-,-,-,-,-,-,6,0,2,Batsman,36.967418546365906,36.967418546365906
Mohammad Hafeez,2007-2019,18,18,1,483,84,28.41,584,82.7,0,2,0,57,6,Pakistan,100,5,436,13,2/16,33.53,4.36,46.1,0,0,7,0,4,All Rounder,53.65914786967418,45.0
Moin Khan,1992-1999,20,14,4,286,63,28.6,269,106.31,0,1,0,23,7,Pakistan,-,-,-,-,-,-,-,-,-,-,23,7,3,Wicket Keeper,40.83333333333333,40.83333333333333
Mushtaq Ahmed,1992-1996,15,5,1,27,17,6.75,58,46.55,0,0,1,1,0,Pakistan,135,5,549,26,3/16,21.11,4.06,31.1,0,0,5,0,2,Bowler,23.319327731092443,23.319327731092443
Rashid Latif,1996-2003,12,7,1,148,36,24.66,133,111.27,0,0,2,10,5,Pakistan,-,-,-,-,-,-,-,-,-,-,14,3,3,Wicket Keeper,81.42857142857143,81.42857142857143
Saeed Anwar,1996-2003,21,21,4,915,113*,53.82,1157,79.08,3,3,0,90,6,Pakistan,4,0,15,1,1/15,15,3.75,24,0,0,3,0,3,Batsman,37.132352941176464,25.0
Saqlain Mushtaq,1996-2003,14,10,6,56,21,14,121,46.28,0,0,2,4,0,Pakistan,112.2,7,494,23,5/35,21.47,4.39,29.3,0,1,4,0,3,Bowler,64.70588235294117,85.0
Sarfaraz Ahmed,2015-2019,11,11,4,303,101*,43.28,353,85.83,1,1,0,21,3,Pakistan,-,-,-,-,-,-,-,-,-,-,19,1,2,Wicket Keeper,74.1111111111111,74.1111111111111
Shahid Afridi,1999-2015,27,24,1,325,37,14.13,289,112.45,0,0,1,30,12,Pakistan,184,7,831,30,5/16,27.7,4.51,36.8,2,2,13,0,5,All Rounder,77.70258980785296,83.33333333333333
Shoaib Akhtar,1999-2011,19,9,7,76,43,38,68,111.76,0,0,1,5,4,Pakistan,148.5,9,765,30,4/46,25.5,5.13,29.7,1,0,2,0,4,Bowler,53.45238095238096,45.0
Umar Gul,2007-2011,11,6,2,49,34*,12.25,52,94.23,0,0,1,5,1,Pakistan,83.3,7,344,18,3/30,19.11,4.11,27.8,0,0,2,0,2,Bowler,50.992063492063494,50.992063492063494
Waqar Younis,1996-2003,13,6,1,32,11,6.4,64,50.0,0,0,0,1,0,Pakistan,93.1,8,466,22,4/26,21.18,5,25.4,1,0,5,0,3,Bowler,56.42156862745098,62.5
Wasim Akram,1987-2003,38,30,8,426,43,19.36,421,101.18,0,0,3,36,11,Pakistan,324.3,16,1311,55,5/28,23.83,4.04,35.4,2,1,8,0,5,All Rounder,49.97698573356469,48.80952380952379
JAR Blain,1999-2007,8,7,2,56,23,11.2,113,49.55,0,0,2,2,2,Scotland,50.1,1,300,12,4/37,25,5.98,25,1,0,1,0,3,Bowler,76.1111111111111,76.1111111111111
HM Amla,2011-2019,22,22,2,842,159,42.1,1012,83.2,2,5,0,76,6,SouthAfrica,-,-,-,-,-,-,-,-,-,-,11,0,3,Batsman,48.471177944862156,36.84210526315789
MV Boucher,1999-2007,25,19,5,381,75*,27.21,405,94.07,0,2,2,26,15,SouthAfrica,-,-,-,-,-,-,-,-,-,-,31,0,3,Wicket Keeper,61.058201058201064,54.28571428571429
WJ Cronje,1992-1999,23,20,4,476,78,29.75,591,80.54,0,2,2,33,8,SouthAfrica,74,2,329,8,2/17,41.12,4.44,55.5,0,0,10,0,3,All Rounder,59.51417004048583,63.157894736842096
DJ Cullinan,1996-1999,15,15,3,471,69,39.25,696,67.67,0,3,1,37,6,SouthAfrica,2,0,7,0,-,-,3.5,-,0,0,11,0,2,Batsman,48.345588235294116,48.345588235294116
Q de Kock,2015-2019,17,17,2,450,78*,30,526,85.55,0,4,1,55,4,SouthAfrica,-,-,-,-,-,-,-,-,-,-,18,1,2,Wicket Keeper,65.1111111111111,65.1111111111111
AB de Villiers,2007-2015,23,22,3,1207,162*,63.52,1029,117.29,4,6,4,121,37,SouthAfrica,14,0,86,4,2/15,21.5,6.14,21,0,0,12,0,3,Batsman,24.67279309384573,19.047619047619047
AA Donald,1992-2003,25,5,2,13,7,4.33,40,32.5,0,0,1,0,0,SouthAfrica,218.5,14,913,38,4/17,24.02,4.17,34.5,2,0,3,0,4,Bowler,52.47899159663865,44.957983193277315
HH Gibbs,1999-2007,25,23,4,1067,143,56.15,1221,87.38,2,8,1,106,28,SouthAfrica,-,-,-,-,-,-,-,-,-,-,10,0,3,Batsman,34.57244008714597,29.411764705882355
AJ Hall,2003-2007,12,5,2,50,22*,16.66,49,102.04,0,0,1,3,1,SouthAfrica,99,8,438,19,5/18,23.05,4.42,31.2,0,1,2,0,2,Bowler,55.41666666666666,55.41666666666666
AC Hudson,1992-1996,12,12,0,571,161,47.58,738,77.37,1,4,0,64,4,SouthAfrica,-,-,-,-,-,-,-,-,-,-,2,0,2,Batsman,35.625,35.625
Imran Tahir,2011-2019,22,8,4,20,10*,5,34,58.82,0,0,3,1,0,SouthAfrica,191.5,7,847,40,5/45,21.17,4.41,28.7,4,1,6,0,3,Bowler,48.809523809523824,50.0
JH Kallis,1996-2011,36,32,7,1148,128*,45.92,1543,74.4,1,9,2,86,13,SouthAfrica,211,13,904,21,3/26,43.04,4.28,60.2,0,0,13,0,5,All Rounder,52.96317717370348,40.78947368421053
G Kirsten,1996-2003,21,21,4,806,188*,47.41,1068,75.46,1,5,2,79,7,SouthAfrica,3,1,9,0,-,-,3,-,0,0,9,0,3,Batsman,49.01960784313725,47.058823529411754
L Klusener,1999-2003,14,11,8,372,57,124,307,121.17,0,3,0,31,16,SouthAfrica,100.5,7,487,22,5/21,22.13,4.82,27.5,1,1,2,0,2,All Rounder,38.1265664160401,38.1265664160401
BM McMillan,1992-1996,15,9,4,145,33*,29,192,75.52,0,0,0,4,0,SouthAfrica,116,12,433,17,3/11,25.47,3.73,40.9,0,0,8,0,2,All Rounder,50.0,50.0
M Morkel,2011-2015,14,4,1,12,6*,4,33,36.36,0,0,0,1,0,SouthAfrica,108.3,4,506,26,3/33,19.46,4.66,25,0,0,4,0,2,Bowler,44.28571428571429,44.28571428571429
M Ntini,2003-2007,13,5,0,29,14,5.8,28,103.57,0,0,2,3,1,SouthAfrica,115.1,10,469,16,4/24,29.31,4.07,43.1,1,0,1,0,2,Bowler,58.194444444444436,58.194444444444436
SM Pollock,1996-2007,31,20,4,279,52,17.43,369,75.6,0,1,1,13,4,SouthAfrica,269,37,970,31,5/36,31.29,3.6,52,0,1,12,0,4,All Rounder,56.1270965876229,57.14285714285714
GC Smith,2003-2011,20,20,1,747,91,39.31,865,86.35,0,6,0,84,6,SouthAfrica,26,0,162,4,2/56,40.5,6.23,39,0,0,15,0,3,Batsman,62.73148148148147,66.66666666666666
DW Steyn,2011-2015,14,4,0,45,20,11.25,73,61.64,0,0,0,7,0,SouthAfrica,115,10,538,23,5/50,23.39,4.67,30,0,1,4,0,2,Bowler,62.61904761904761,62.61904761904761
MS Atapattu,1999-2003,15,15,3,521,124,43.41,657,79.29,2,3,1,62,0,SriLanka,-,-,-,-,-,-,-,-,-,-,3,0,2,Batsman,50.735294117647065,50.735294117647065
PA de Silva,1987-2003,35,32,3,1064,145,36.68,1229,86.57,2,6,2,107,15,SriLanka,135,2,671,16,3/42,41.93,4.97,50.6,0,0,14,0,5,All Rounder,57.32215153267784,63.46153846153847
TM Dilshan,2007-2015,27,25,4,1112,161*,52.95,1196,92.97,4,4,2,122,9,SriLanka,101.1,5,447,18,4/4,24.83,4.41,33.7,1,0,12,0,3,All Rounder,31.411862990810352,38.095238095238095
ST Jayasuriya,1992-2007,38,37,3,1165,120,34.26,1285,90.66,3,6,0,120,27,SriLanka,219.1,4,1060,27,3/12,39.25,4.83,48.7,0,0,18,0,5,All Rounder,43.058608058608066,23.07692307692308
DPMD Jayawardene,1999-2015,40,34,3,1100,115*,35.48,1280,85.93,4,5,3,99,12,SriLanka,24,0,131,2,2/56,65.5,5.45,72,0,0,16,0,5,Batsman,67.83625730994152,94.73684210526315
RS Kaluwitharana,1996-1999,11,11,1,163,57,16.3,178,91.57,0,1,2,23,2,SriLanka,-,-,-,-,-,-,-,-,-,-,8,4,2,Wicket Keeper,70.0,70.0
SL Malinga,2007-2019,29,13,2,33,10,3,59,55.93,0,0,1,2,2,SriLanka,232.2,11,1281,56,6/38,22.87,5.51,24.8,2,1,5,0,4,Bowler,47.84722222222222,47.91666666666666
AD Mathews,2011-2019,22,17,3,533,113,38.07,621,85.82,1,2,3,41,12,SriLanka,73.4,1,384,13,3/41,29.53,5.21,34,0,0,4,0,3,All Rounder,62.12475633528266,61.111111111111114
M Muralitharan,1996-2011,40,13,5,69,16,8.62,71,97.18,0,0,0,8,1,SriLanka,343.3,15,1335,68,4/19,19.63,3.88,30.3,4,0,13,0,5,Bowler,40.98786181139122,27.500000000000004
A Ranatunga,1983-1999,30,29,8,969,88*,46.14,1197,80.95,0,7,3,99,7,SriLanka,81.1,2,460,6,2/26,76.66,5.66,81.1,0,0,7,0,5,Batsman,62.15073529411765,58.125
KC Sangakkara,2003-2015,37,35,8,1532,124,56.74,1770,86.55,5,7,1,147,14,SriLanka,-,-,-,-,-,-,-,-,-,-,41,13,4,Wicket Keeper,21.82539682539683,22.222222222222218
WU Tharanga,2007-2015,21,21,2,697,133,36.68,923,75.51,2,4,1,79,4,SriLanka,-,-,-,-,-,-,-,-,-,-,4,0,3,Batsman,56.87830687830689,61.111111111111114
WPUJC Vaas,1996-2007,31,18,8,219,29*,21.9,296,73.98,0,0,1,16,4,SriLanka,261.4,39,1040,49,6/25,21.22,3.97,32,1,1,7,0,4,Bowler,50.11846405228758,58.986928104575156
CEL Ambrose,1992-1999,17,10,2,48,15*,6,89,53.93,0,0,0,3,1,WestIndies,164.3,20,499,24,3/28,20.79,3.03,41.1,0,0,1,0,3,Bowler,60.42717086834734,71.42857142857143
SJ Benn,2011-2015,9,7,2,26,9*,5.2,42,61.9,0,0,0,3,0,WestIndies,76.5,4,422,14,4/18,30.14,5.49,32.9,2,0,2,0,2,Bowler,69.28571428571428,69.28571428571428
